gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,CLV,AvgMonthlyCharges
0,0,1,1,0.18055555555555555,1,0,1,0,0,0,0,0,1,0.3154228855721393,0.0676411661753869,0,1,0,0,1,0,0,0,0,0,1,0.07594736842105264,0.29187885285446263
0,0,0,0,0.2222222222222222,1,0,0,0,0,0,0,0,0,0.006965174129353213,0.03762896094325719,0,0,0,1,0,0,1,0,1,0,0,0.03546198830409357,0.06178861788617887
0,0,1,0,0.8055555555555555,1,1,0,0,1,0,1,1,0,0.8169154228855721,0.6541428703021372,0,0,1,0,0,1,0,0,1,0,0,0.6807368421052631,0.7821138211382114
0,0,0,0,0.6805555555555555,1,1,0,1,1,0,1,1,1,0.8502487562189055,0.5798982129697864,1,0,1,0,1,0,0,1,0,0,0,0.5943040935672516,0.8270070397496978
0,0,0,0,0.3472222222222222,1,0,1,0,1,1,1,1,1,0.8681592039800995,0.3092817336035373,0,0,1,0,1,0,0,0,0,1,0,0.3084795321637427,0.870308943089431
1,0,1,1,0.9583333333333333,1,1,1,1,1,1,1,1,0,0.945273631840796,0.9090767778187179,0,0,1,0,0,0,1,0,1,0,0,0.9139473684210526,0.935168072177616
1,0,0,0,0.7222222222222222,1,0,0,0,0,0,0,0,0,0.023880597014925342,0.11778624723655123,0,0,0,1,0,1,0,0,0,0,1,0.1255906432748538,0.054793174305369424
0,0,0,1,0.986111111111111,1,1,1,0,1,0,1,1,0,0.8800995024875623,0.8500195744288874,0,0,1,0,0,0,1,1,0,0,0,0.886046783625731,0.8380985097577335
1,0,1,1,0.1388888888888889,1,0,0,0,1,1,0,0,0,0.36766169154228856,0.06083617354458365,1,1,0,0,1,0,0,0,1,0,0,0.06456140350877193,0.36292682926829267
1,0,0,0,0.29166666666666663,1,0,0,1,1,0,0,1,1,0.7144278606965173,0.21450119749447313,0,0,1,0,1,0,0,0,0,1,0,0.22117543859649122,0.6962557380675848
0,1,0,0,0.013888888888888888,0,0,0,0,1,0,0,1,1,0.21293532338308457,0.004565447678703022,1,1,0,0,1,0,0,0,0,1,0,0.004637426900584795,0.24041811846689892
0,0,1,0,0.16666666666666666,1,0,0,0,0,0,0,0,0,0.015422885572139305,0.0232878131908622,0,0,0,1,0,1,0,1,0,0,0,0.02778947368421053,0.028610143244289593
0,0,0,0,0.013888888888888888,1,0,0,0,0,0,0,0,0,0.018905472636815884,0.002320145541635962,1,0,0,1,1,0,0,0,0,0,1,0.0023567251461988304,0.0592334494773519
1,0,1,0,0.8055555555555555,1,1,0,1,0,1,0,0,1,0.4144278606965174,0.4035901805453206,0,1,0,0,0,0,1,0,1,0,0,0.4063391812865497,0.433521566742761
0,0,1,1,0.6805555555555555,1,0,1,1,0,1,0,0,0,0.4114427860696518,0.3420113301400148,0,1,0,0,1,0,0,0,1,0,0,0.34156725146198835,0.43524615421081336
1,0,0,0,0.41666666666666663,1,0,1,1,0,0,0,0,1,0.3686567164179104,0.1762389462048637,0,1,0,0,1,0,0,1,0,0,0,0.19403508771929825,0.34606271777003483
0,0,1,1,0.6527777777777778,1,1,0,1,0,0,1,1,1,0.8069651741293532,0.5468346997052321,1,0,1,0,1,0,0,0,0,1,0,0.5461345029239766,0.8108779993575012
0,0,1,1,0.013888888888888888,0,0,0,1,0,0,0,0,0,0.11890547263681589,0.0034773397199705236,1,1,0,0,1,0,0,0,0,1,0,0.0035321637426900584,0.15261324041811847
0,0,1,0,1.0,1,1,1,1,1,1,1,1,1,0.7164179104477612,0.7334020357406044,0,1,0,0,0,0,1,0,1,0,0,0.76,0.6939798683701123
1,0,0,1,0.2361111111111111,1,0,0,0,0,0,1,1,1,0.4621890547263682,0.1258635777450258,1,1,0,0,1,0,0,0,0,0,1,0.1286432748538012,0.46945412311265966
1,1,1,0,0.986111111111111,1,1,1,1,1,1,0,0,1,0.7771144278606964,0.7791716562269714,0,0,1,0,0,0,1,0,1,0,0,0.8000994152046783,0.757576352423484
0,1,1,0,0.027777777777777776,1,0,0,0,1,0,1,1,1,0.7686567164179104,0.02091585298452469,0,0,1,0,1,0,0,0,1,0,0,0.022339181286549707,0.7159117305458769
1,0,1,1,0.375,1,0,1,1,1,1,0,0,0,0.47661691542288565,0.21583110722181287,0,1,0,0,0,1,0,0,0,0,1,0.2088947368421053,0.5170645674710715
0,0,0,0,0.013888888888888888,1,0,0,0,0,0,0,0,0,0.019402985074626844,0.0023259027266028004,0,0,0,1,1,0,0,1,0,0,0,0.0023625730994152046,0.0596980255516841
0,1,0,0,0.013888888888888888,1,0,0,0,0,0,0,0,0,0.26865671641791045,0.005210252394988947,0,1,0,0,1,0,0,1,0,0,0,0.005292397660818714,0.2924506387921022
1,0,1,1,1.0,1,1,1,1,0,1,1,0,0,0.8124378109452737,0.8349875644804717,0,0,1,0,0,0,1,1,0,0,0,0.8412631578947369,0.8078332688088785
0,0,0,0,0.06944444444444445,1,0,0,0,0,0,0,0,1,0.5119402985074627,0.03648903831982314,1,0,1,0,1,0,0,0,0,1,0,0.040760233918128656,0.46090592334494773
1,0,0,0,0.6388888888888888,1,0,0,0,1,0,0,0,1,0.5626865671641791,0.4085643883566692,0,0,1,0,1,0,0,0,1,0,0,0.4024327485380117,0.5887289804575065
0,0,0,0,0.4722222222222222,1,1,0,1,1,0,1,1,1,0.8766169154228854,0.4086737748710391,1,0,1,0,1,0,0,0,0,1,0,0.42291228070175435,0.8419484867117579
1,0,0,0,0.15277777777777776,1,1,0,0,1,0,1,1,1,0.7920398009950248,0.1272798452468681,1,0,1,0,1,0,0,1,0,0,0,0.12588888888888888,0.8057227325520009
0,0,1,1,0.1388888888888889,1,0,0,1,0,0,0,0,0,0.3114427860696517,0.05477385777450258,0,1,0,0,0,1,0,0,0,0,1,0.057953216374269007,0.314006968641115
1,0,1,1,0.9722222222222222,1,1,1,1,0,0,1,0,1,0.5069651741293533,0.5610204034635226,0,1,0,0,0,0,1,0,1,0,0,0.5665497076023392,0.5187456445993032
1,0,1,1,0.2361111111111111,1,0,0,0,0,0,0,0,0,0.02487562189054726,0.048158852247605015,0,0,0,1,0,1,0,0,0,0,1,0.04125730994152047,0.10060804809728768
1,0,0,0,0.875,1,1,1,1,1,1,1,0,1,0.6129353233830845,0.5597653371407517,0,1,0,0,0,0,1,0,1,0,0,0.5883684210526315,0.5889976586840698
1,0,1,0,0.18055555555555555,1,1,1,1,0,1,1,0,1,0.5766169154228856,0.11300778371407519,0,1,0,0,1,0,0,0,0,1,0,0.11585964912280702,0.5734834271419638
1,0,0,0,0.6805555555555555,1,1,0,0,0,0,0,1,1,0.6592039800995024,0.44983189019896835,0,0,1,0,1,0,0,0,0,1,0,0.48426900584795324,0.6128090260494442
0,0,0,0,0.027777777777777776,1,0,0,1,0,0,0,0,0,0.30845771144278605,0.011168938835666914,0,1,0,0,1,0,0,0,0,0,1,0.011520467836257311,0.3226480836236934
1,0,0,0,0.027777777777777776,1,0,0,0,0,0,1,0,1,0.6208955223880598,0.01659796425939573,1,0,1,0,1,0,0,0,0,1,0,0.018865497076023394,0.5416957026713125
0,0,0,0,0.7222222222222222,1,1,1,0,0,1,1,1,1,0.6119402985074627,0.48565309506263826,0,1,0,0,0,0,1,0,1,0,0,0.48502923976608187,0.6256588939515768
1,0,1,1,0.9583333333333333,1,1,1,0,1,1,0,0,1,0.4567164179104478,0.4898328113485631,0,1,0,0,0,0,1,0,1,0,0,0.517701754385965,0.44486525610597727
1,1,0,0,0.5972222222222222,1,1,0,1,0,0,1,0,1,0.7164179104477612,0.4420078758290347,0,0,1,0,1,0,0,0,0,1,0,0.4538888888888889,0.7014936660994516
1,0,0,0,0.20833333333333331,1,0,1,1,0,0,1,1,1,0.8044776119402984,0.16424097273397203,1,0,1,0,1,0,0,0,1,0,0,0.17385964912280702,0.7555710414247
1,1,1,0,0.3472222222222222,1,1,1,0,0,1,1,0,1,0.5099502487562189,0.201806604642594,0,1,0,0,1,0,0,0,1,0,0,0.20321637426900585,0.5234006968641116
1,1,1,0,0.1111111111111111,1,1,0,1,0,0,0,0,1,0.6208955223880598,0.0729205047899779,1,0,1,0,1,0,0,0,1,0,0,0.07546198830409358,0.6075493612078977
1,1,1,1,0.8333333333333333,1,0,1,1,1,1,0,1,1,0.56318407960199,0.5131206245394253,0,1,0,0,0,1,0,0,1,0,0,0.5252631578947369,0.5621138211382115
0,1,0,0,0.25,1,1,0,0,0,0,1,1,1,0.7681592039800995,0.2017950902726603,1,0,1,0,1,0,0,0,0,1,0,0.20094736842105265,0.776667957155762
1,0,1,1,0.875,1,1,1,0,0,0,1,1,1,0.8099502487562189,0.7266949152542374,0,0,1,0,0,1,0,0,1,0,0,0.734263157894737,0.8028132662279004
0,1,1,1,0.9166666666666666,1,1,0,1,1,1,1,1,1,0.8975124378109453,0.8147971168017688,0,0,1,0,0,1,0,0,0,1,0,0.8371578947368421,0.8682222926125366
1,0,1,1,0.4722222222222222,1,1,0,0,0,0,0,0,0,0.06666666666666665,0.10297301031687547,0,0,0,1,0,0,1,0,1,0,0,0.09921637426900584,0.11640363462458153
1,0,0,0,1.0,1,1,0,0,1,1,1,1,1,0.8880597014925372,0.9043040714812086,0,0,1,0,0,0,1,0,1,0,0,0.9052631578947369,0.8855207123499805
1,0,1,0,0.6527777777777778,1,1,0,0,1,0,1,1,1,0.818407960199005,0.541992907148121,0,0,1,0,1,0,0,0,0,1,0,0.5524561403508772,0.8025650530061533
0,0,0,0,0.8333333333333333,1,1,0,1,0,0,1,0,1,0.7129353233830846,0.6276137619749448,0,0,1,0,1,0,0,1,0,0,0,0.6308771929824561,0.7160975609756097
0,0,1,0,1.0,0,0,1,1,1,0,0,0,0,0.2373134328358209,0.3410556374355196,0,1,0,0,0,0,1,1,0,0,0,0.35452631578947374,0.2542521615692347
1,0,1,1,0.25,1,0,0,0,1,1,0,0,1,0.3597014925373134,0.11020403463522478,0,1,0,0,0,1,0,0,1,0,0,0.11452631578947368,0.3660601367918441
1,0,0,0,0.125,1,1,0,0,0,0,1,1,0,0.7577114427860697,0.09870693625644807,1,0,1,0,1,0,0,0,0,1,0,0.09936842105263159,0.757026713124274
1,0,0,0,0.041666666666666664,1,0,0,1,0,1,1,1,1,0.5676616915422885,0.02810657700810612,0,1,0,0,1,0,0,0,0,1,0,0.026421052631578946,0.6280294231513743
0,0,1,0,0.6527777777777778,1,1,0,1,0,0,0,0,1,0.6034825870646766,0.42031480287398676,0,0,1,0,0,1,0,0,0,1,0,0.43371929824561406,0.5936540885165691
1,0,0,0,0.4305555555555555,1,0,0,1,1,1,1,1,0,0.6064676616915423,0.28753684598378776,0,1,0,0,0,0,1,0,0,0,1,0.28715789473684217,0.6204863062455509
1,0,1,1,0.6944444444444444,1,0,0,0,0,0,0,0,0,0.018905472636815884,0.10718726971260134,0,0,0,1,0,0,1,1,0,0,0,0.11783625730994152,0.04499883855981415
0,0,0,0,0.1388888888888889,1,0,1,0,1,0,0,0,1,0.6129353233830845,0.1021727616064849,0,0,1,0,1,0,0,0,0,0,1,0.09339181286549708,0.6964924506387921
0,0,0,0,0.013888888888888888,1,0,0,0,0,1,0,0,0,0.30646766169154227,0.005647798452468681,0,1,0,0,1,0,0,0,0,0,1,0.005736842105263157,0.32775842044134723
1,0,1,1,0.7222222222222222,1,0,0,0,0,0,0,0,1,0.021393034825870627,0.12558147568165073,0,0,0,1,0,1,0,0,0,1,0,0.1240701754385965,0.06689002054855717
0,1,1,1,0.8888888888888888,1,1,1,0,1,1,1,1,1,0.9288557213930347,0.8174051215917466,0,0,1,0,0,0,1,1,0,0,0,0.8353684210526315,0.9026422764227643
0,0,1,1,0.861111111111111,1,1,0,0,0,0,0,0,1,0.05970149253731341,0.16403371407516582,0,0,0,1,0,0,1,1,0,0,0,0.17584795321637428,0.08550447716458731
1,0,0,1,0.041666666666666664,1,0,1,0,0,1,0,1,1,0.46019900497512434,0.02042649226234341,0,1,0,0,1,0,0,1,0,0,0,0.022631578947368423,0.4214479287650019
1,1,0,0,0.7777777777777777,1,1,1,1,1,0,1,1,0,0.917910447761194,0.7069247420781136,0,0,1,0,0,1,0,0,0,1,0,0.7237426900584796,0.890675294508047
1,0,0,0,0.6388888888888888,1,0,0,0,0,0,0,1,0,0.37213930348258706,0.3096041359616802,0,1,0,0,0,1,0,0,1,0,0,0.29940350877192984,0.4151290208554259
1,0,1,1,0.1111111111111111,1,0,1,1,0,0,0,0,0,0.3621890547263681,0.055528049005158446,0,1,0,0,1,0,0,0,0,0,1,0.05113450292397661,0.4321138211382114
0,1,0,0,0.41666666666666663,1,0,1,1,0,0,1,1,1,0.5621890547263682,0.2431028924097274,0,1,0,0,1,0,0,0,0,1,0,0.262280701754386,0.5259156020131631
1,0,1,1,0.625,1,1,0,0,0,0,0,0,1,0.07611940298507458,0.1400838246131172,0,0,0,1,0,1,0,0,1,0,0,0.13631578947368422,0.12321073686927347
1,0,0,1,0.013888888888888888,1,0,0,0,0,0,1,0,1,0.607960199004975,0.009136652542372881,1,0,1,0,1,0,0,0,0,1,0,0.009280701754385964,0.6092915214866433
1,0,1,1,0.15277777777777776,0,0,1,0,0,0,1,1,0,0.32139303482587056,0.06509649042004423,0,1,0,0,1,0,0,0,0,1,0,0.06503508771929824,0.34955126174638373
1,0,1,0,0.09722222222222221,1,0,0,0,1,0,0,0,1,0.5661691542288557,0.05721490420044216,1,0,1,0,1,0,0,1,0,0,0,0.06152631578947369,0.5315745810519329
1,0,0,0,0.5833333333333333,1,0,0,1,1,1,1,1,1,0.8512437810945274,0.49828435887988215,0,0,1,0,1,0,0,1,0,0,0,0.5098947368421052,0.8293678446988552
1,0,1,0,0.6805555555555555,1,0,0,0,0,0,0,0,1,0.018905472636815884,0.11207511974944732,0,0,0,1,0,0,1,1,0,0,0,0.11547953216374268,0.056578729052596644
0,0,0,0,0.125,1,1,0,1,0,0,1,1,1,0.8064676616915423,0.10578827376565955,0,0,1,0,1,0,0,0,1,0,0,0.10452631578947368,0.8205187766163375
1,0,1,0,0.4861111111111111,1,0,1,0,0,0,1,0,1,0.43681592039800987,0.25509510869565216,0,1,0,0,0,1,0,1,0,0,0,0.2544152046783626,0.4601493280238924
1,0,1,1,0.6666666666666666,1,0,0,0,0,0,0,0,0,0.023880597014925342,0.12170689019896833,0,0,0,1,0,0,1,1,0,0,0,0.11592982456140351,0.07661633759194733
1,0,1,1,0.6388888888888888,1,0,0,0,0,0,0,0,1,0.01691542288557213,0.10674972365512161,0,0,0,1,0,0,1,0,0,0,1,0.10733333333333334,0.05927384739685909
0,0,1,0,0.40277777777777773,0,0,0,0,0,0,1,0,0,0.154228855721393,0.11620877855563745,0,1,0,0,1,0,0,0,0,0,1,0.11447368421052632,0.1953702591213104
0,0,1,1,0.41666666666666663,1,0,0,1,1,0,0,0,0,0.6348258706467661,0.2959423360353722,0,0,1,0,1,0,0,1,0,0,0,0.28789473684210526,0.6680449090205187
0,1,0,0,0.013888888888888888,1,0,0,0,0,1,0,0,0,0.5616915422885572,0.008601234340456891,0,0,1,0,1,0,0,0,0,1,0,0.00873684210526316,0.5660859465737514
0,0,1,1,0.9166666666666666,1,1,1,0,1,1,1,1,1,0.654228855721393,0.6579598839351511,0,1,0,0,0,0,1,0,0,0,1,0.648421052631579,0.6764649984162179
1,0,0,0,0.9027777777777777,1,1,1,1,1,0,1,1,1,0.9233830845771144,0.8183262711864407,0,0,1,0,1,0,0,0,1,0,0,0.8442397660818713,0.8879299562226391
0,0,0,0,1.0,1,1,0,1,1,0,1,1,1,0.8223880597014926,0.8588626105379515,0,0,1,0,0,0,1,1,0,0,0,0.8496842105263158,0.8345915602013163
1,0,0,0,0.16666666666666666,1,1,1,0,0,0,0,0,1,0.6039800995024875,0.1067785095799558,1,0,1,0,1,0,0,0,0,1,0,0.11080701754385966,0.5900503290747193
0,0,1,1,0.986111111111111,1,1,1,1,0,1,0,0,1,0.4835820895522387,0.5467828850405306,0,1,0,0,0,1,0,0,1,0,0,0.5551286549707601,0.49345503917815847
0,0,0,0,0.06944444444444445,1,0,0,0,0,0,0,0,0,0.027860696517412936,0.013109110169491527,1,0,0,1,1,0,0,0,0,0,1,0.012309941520467837,0.08357723577235773
0,0,0,0,0.7222222222222222,1,0,0,0,0,0,0,0,0,0.027363184079601977,0.1274871039056743,0,0,0,1,0,0,1,1,0,0,0,0.12771929824561404,0.06984722594478696
1,1,1,0,0.3472222222222222,1,0,0,1,1,0,1,1,1,0.7985074626865671,0.289528831982314,1,0,1,0,1,0,0,0,0,1,0,0.2880116959064328,0.8065505226480836
0,0,0,0,0.013888888888888888,1,0,0,0,0,0,0,0,0,0.019402985074626844,0.0023259027266028004,0,0,0,1,1,0,0,0,0,0,1,0.0023625730994152046,0.0596980255516841
1,0,1,1,0.013888888888888888,1,0,0,0,0,0,0,0,0,0.011940298507462671,0.002239544952100221,0,0,0,1,1,0,0,0,0,1,0,0.0022748538011695906,0.0527293844367015
0,0,0,0,0.5277777777777778,1,1,0,0,1,1,1,0,0,0.763681592039801,0.4151621223286662,0,0,1,0,0,1,0,1,0,0,0,0.4222222222222222,0.7536279723699492
1,1,1,0,0.9166666666666666,0,0,0,1,1,0,1,0,0,0.2716417910447761,0.34856876381724394,0,1,0,0,0,1,0,1,0,0,0,0.35161403508771927,0.2981874494069616
0,0,1,0,0.9444444444444444,1,1,0,1,1,1,1,1,1,0.9129353233830845,0.8764565677966103,1,0,1,0,0,0,1,1,0,0,0,0.8748538011695907,0.9120926419348226
0,0,0,0,0.06944444444444445,0,0,0,0,0,0,0,0,0,0.06019900497512437,0.011537398673544585,0,1,0,0,1,0,0,0,0,0,1,0.014210526315789474,0.058211382113821125
1,0,1,1,1.0,1,1,1,1,0,0,1,1,1,0.854726368159204,0.840900193441415,0,0,1,0,0,1,0,0,0,1,0,0.8770526315789474,0.8144599303135889
1,0,0,0,0.4444444444444444,0,0,1,0,0,0,0,0,0,0.11840796019900496,0.10681305268975683,0,1,0,0,0,1,0,0,0,0,1,0.1128421052631579,0.14136178861788617
0,0,0,0,0.5972222222222222,1,1,0,0,0,0,1,1,0,0.7572139303482587,0.45151298820928526,0,0,1,0,0,1,0,0,0,0,1,0.47450877192982455,0.7193312265348567
0,0,1,1,1.0,1,0,0,0,0,0,0,0,0,0.011442786069651711,0.15696964812085484,0,0,0,1,0,0,1,0,1,0,0,0.16336842105263158,0.04793521744741258
0,0,1,0,0.7638888888888888,1,1,1,1,0,0,1,0,1,0.7810945273631841,0.6032263264554164,1,0,1,0,1,0,0,0,0,1,0,0.6223684210526316,0.7570520536374195
1,0,0,0,0.7222222222222222,1,0,1,0,1,1,0,0,0,0.3950248756218906,0.35029591930729553,0,1,0,0,0,1,0,0,1,0,0,0.35244444444444445,0.4156079692665059
1,0,0,0,0.5972222222222222,1,0,0,1,1,0,1,0,1,0.7303482587064677,0.45528970154753134,0,0,1,0,1,0,0,0,0,1,0,0.4609298245614036,0.7264187126921103
1,1,1,0,0.5138888888888888,1,1,0,0,0,0,0,0,1,0.5796019900497512,0.33024940125276353,1,0,1,0,1,0,0,0,0,1,0,0.3310526315789474,0.5922654361678752
1,0,1,1,0.8888888888888888,0,0,0,1,0,1,1,1,1,0.36169154228855727,0.39419445467944,0,1,0,0,0,0,1,0,0,1,0,0.40870175438596495,0.3690331010452962
0,0,1,1,0.041666666666666664,1,0,1,1,0,0,1,0,0,0.7124378109452736,0.02860169491525424,0,0,1,0,1,0,0,0,0,1,0,0.03152631578947368,0.6413472706155633
1,0,0,0,0.5,0,0,1,0,0,0,0,0,0,0.127363184079602,0.1296921057479735,0,1,0,0,0,0,1,1,0,0,0,0.13073684210526315,0.16271777003484317
1,0,1,1,0.1388888888888889,1,1,1,0,0,0,1,1,1,0.8159203980099502,0.12258773949889465,1,0,1,0,1,0,0,0,0,1,0,0.11725146198830409,0.8612311265969803
1,0,0,0,0.5694444444444444,1,0,0,0,0,0,0,0,0,0.023880597014925342,0.09616226050110539,0,0,0,1,0,0,1,0,0,0,1,0.0990233918128655,0.06127305175490777
0,0,1,1,0.375,1,1,0,1,0,1,0,0,1,0.6661691542288557,0.24774318349299929,0,0,1,0,1,0,0,0,1,0,0,0.2690526315789474,0.6124403148793393
1,0,1,1,0.7777777777777777,1,1,0,0,1,0,1,1,1,0.8114427860696517,0.6350693165070008,0,0,1,0,0,1,0,0,1,0,0,0.6536608187134504,0.7871329019412643
1,0,0,0,0.08333333333333333,1,0,0,0,0,0,0,0,0,0.024378109452736302,0.012982452100221078,0,0,0,1,1,0,0,0,0,0,1,0.014526315789473684,0.04661246612466127
0,0,0,0,0.041666666666666664,1,1,0,0,0,0,0,0,1,0.5587064676616916,0.026431236182756085,1,0,1,0,1,0,0,0,0,1,0,0.02610526315789474,0.5829655439411537
1,0,1,1,0.09722222222222221,1,0,1,0,0,0,0,0,0,0.32288557213930347,0.04034059506263818,0,1,0,0,1,0,0,0,0,0,1,0.041508771929824564,0.33704994192799076
1,0,1,1,0.05555555555555555,1,0,0,0,0,0,0,0,0,0.025870646766169153,0.007242538688282978,0,0,0,1,1,0,0,0,0,0,1,0.009754385964912281,0.018118466898954716
0,0,0,0,0.4583333333333333,1,0,1,0,0,1,1,0,1,0.7034825870646766,0.3486148212969787,0,0,1,0,0,0,1,0,0,1,0,0.34331578947368424,0.724478231795305
1,1,0,0,0.375,1,1,0,0,1,0,0,0,1,0.5950248756218905,0.24588936993367727,1,0,1,0,1,0,0,0,0,1,0,0.24647368421052632,0.6068998150298963
0,0,1,0,1.0,1,1,0,0,0,0,0,0,1,0.0527363184079602,0.19850198047162862,0,0,0,1,0,0,1,1,0,0,0,0.19831578947368422,0.09448315911730548
0,0,0,0,0.013888888888888888,1,0,0,0,0,0,0,0,0,0.014925373134328346,0.0022740880619012533,0,0,0,1,1,0,0,0,0,0,1,0.002309941520467836,0.05551684088269454
0,1,0,0,0.986111111111111,0,0,1,1,0,0,1,1,1,0.3800995024875622,0.4588879421518055,0,1,0,0,0,1,0,0,0,1,0,0.4687660818713451,0.3935580965467602
1,0,0,0,0.18055555555555555,1,1,0,0,0,0,0,1,1,0.6736318407960199,0.13997443809874727,0,0,1,0,1,0,0,0,0,1,0,0.13068421052631582,0.7408737603859555
1,0,1,1,0.3472222222222222,0,0,1,1,1,0,1,1,1,0.4014925373134328,0.1730206798084009,1,1,0,0,1,0,0,0,1,0,0,0.17134502923976608,0.4304854819976771
0,0,0,0,0.9305555555555555,1,0,0,0,0,1,0,0,0,0.32139303482587056,0.3753799742078114,0,1,0,0,0,0,1,1,0,0,0,0.3961228070175439,0.32411808553053545
0,0,0,0,0.013888888888888888,0,0,0,0,0,0,0,1,1,0.17114427860696518,0.004081844141488579,1,1,0,0,1,0,0,0,0,1,0,0.004146198830409357,0.20139372822299656
0,0,0,0,0.027777777777777776,1,0,0,0,0,0,0,0,0,0.25970149253731345,0.00935542557111275,1,1,0,0,1,0,0,0,0,1,0,0.010374269005847954,0.24947735191637632
1,0,0,0,0.5972222222222222,1,1,0,0,0,0,0,0,1,0.07412935323383085,0.13681374355195286,0,0,0,1,0,0,1,0,1,0,0,0.1292514619883041,0.12875779920589908
1,0,0,0,0.3194444444444444,1,0,1,0,0,0,0,0,1,0.5646766169154228,0.20478306927044954,0,0,1,0,1,0,0,1,0,0,0,0.2017543859649123,0.5904862899560672
1,0,1,1,0.8888888888888888,1,0,0,0,0,0,0,0,0,0.019402985074626844,0.14712486182756082,0,0,0,1,0,0,1,0,0,0,1,0.1512046783625731,0.057513066202090596
0,0,0,1,0.7916666666666666,1,0,0,0,0,0,0,0,1,0.013432835820895522,0.1347814572586588,0,0,0,1,0,0,1,0,0,0,1,0.13066666666666668,0.0628196507528985
1,1,1,0,0.013888888888888888,1,0,0,0,0,0,0,0,1,0.5194029850746269,0.00811187361827561,1,0,1,0,1,0,0,0,0,0,1,0.008239766081871346,0.5265969802555168
1,1,1,1,1.0,1,1,1,1,1,1,1,1,1,0.6945273631840796,0.7398731116433309,0,1,0,0,0,0,1,0,1,0,0,0.7414736842105263,0.7012324170860756
1,0,0,0,0.1111111111111111,1,1,1,0,0,1,0,1,0,0.5263681592039802,0.06490074613117171,1,1,0,0,1,0,0,0,0,1,0,0.06657309941520469,0.5266550522648084
1,0,1,0,0.8472222222222222,1,1,0,1,0,0,1,1,1,0.8238805970149253,0.6875518146647016,0,0,1,0,0,0,1,1,0,0,0,0.7209415204678363,0.7815502370480379
0,0,0,0,0.8888888888888888,1,1,1,1,0,0,0,0,1,0.6572139303482587,0.6090007829771555,0,0,1,0,0,1,0,0,1,0,0,0.6310175438596491,0.6398736933797909
0,1,1,0,0.986111111111111,1,1,0,0,0,0,0,0,0,0.056716417910447736,0.20221536477523952,0,0,0,1,0,0,1,1,0,0,0,0.19888304093567252,0.10183703849110928
1,0,1,1,0.9027777777777777,1,1,1,1,0,1,1,0,1,0.8039800995024875,0.7388425755342668,0,0,1,0,0,0,1,0,1,0,0,0.7530116959064328,0.7892539980344858
